state_fips,state,event_ym,mw_before,mw_first,mw_end,pct_first,pct_window,n_steps,federal_induced,n_controls,controls,n_controls_strict,controls_strict,event_id
41,Oregon,2009-01,7.95,8.4,8.8,0.05660377358490565,0.10691823899371067,1,0,20,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 50 51 56,3,9 23 50,67
41,Oregon,2016-07,9.25,9.75,11.25,0.054054054054053946,0.21621621621621623,2,0,25,1 12 13 16 18 19 20 21 22 28 30 32 33 37 38 39 40 42 45 47 48 49 51 55 56,25,1 12 13 16 18 19 20 21 22 28 30 32 33 37 38 39 40 42 45 47 48 49 51 55 56,68
42,Pennsylvania,2007-01,5.15,6.25,7.25,0.21359223300970864,0.40776699029126195,2,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,69
44,Rhode Island,1996-09,4.45,4.75,5.65,0.0674157303370786,0.2696629213483146,3,0,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,70
44,Rhode Island,2004-01,6.15,6.75,7.4,0.09756097560975596,0.2032520325203251,2,0,20,1 9 13 16 18 20 22 28 31 35 38 40 45 46 47 48 49 51 53 56,2,9 53,71
44,Rhode Island,2015-01,8.0,9.0,10.1,0.125,0.26249999999999996,3,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,72
46,South Dakota,2015-01,7.25,8.5,8.85,0.17241379310344818,0.2206896551724138,1,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,73
46,South Dakota,2022-01,9.45,9.95,11.5,0.05291005291005302,0.21693121693121697,2,0,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,74
50,Vermont,1995-02,4.25,4.5,5.25,0.05882352941176472,0.23529411764705888,3,0,30,1 4 5 12 13 16 17 18 20 21 22 24 28 29 31 32 33 35 36 38 39 40 45 46 47 48 49 51 54 56,0,,75
50,Vermont,2018-01,10.0,10.5,11.75,0.050000000000000044,0.17500000000000004,2,0,23,1 13 16 18 19 20 21 22 26 28 30 33 37 38 39 40 42 45 47 48 49 55 56,23,1 13 16 18 19 20 21 22 26 28 30 33 37 38 39 40 42 45 47 48 49 55 56,76
51,Virginia,2021-05,7.25,9.5,13.5,0.31034482758620685,0.8620689655172413,4,0,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,77
53,Washington,1994-01,4.25,4.9,5.15,0.15294117647058836,0.21176470588235308,2,0,29,1 4 5 12 13 16 17 18 20 21 22 24 28 29 31 32 33 35 38 39 40 45 46 47 48 49 51 54 56,0,,78
53,Washington,2009-01,8.07,8.55,9.04,0.059479553903345694,0.12019826517967758,1,0,20,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 50 51 56,3,9 23 50,79
53,Washington,2017-01,9.47,11.0,13.5,0.16156282998944027,0.4255543822597676,2,0,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,80
54,West Virginia,2006-07,5.15,5.85,7.25,0.13592233009708732,0.40776699029126195,3,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,81
54,West Virginia,2015-01,7.25,8.0,8.75,0.10344827586206895,0.2068965517241379,2,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,82
55,Wisconsin,1996-10,4.25,4.75,5.15,0.11764705882352944,0.21176470588235308,2,1,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,83
55,Wisconsin,2005-06,5.15,5.7,6.55,0.10679611650485432,0.27184466019417464,2,0,18,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 56,1,9,84
55,Wisconsin,2009-08,6.55,7.25,7.25,0.10687022900763354,0.10687022900763354,1,1,21,1 9 13 16 18 20 22 23 28 31 38 40 44 45 46 47 48 49 50 51 56,4,9 23 44 50,85
