unit,state_fips,kind,source,event_ym,mw_before,mw_first,mw_end,pct_first,pct_window,n_steps,controls,n_controls,controls_strict,n_controls_strict,event_id,federal_induced
30,30,state,state,2022-01,8.75,9.2,10.55,0.05142857142857138,0.20571428571428574,2,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6075 19103 19113 19179 21067 21111 24033 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,49,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6075 19103 19113 19179 21067 21111 24033 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,49,51,0
31,31,state,state,2015-01,7.25,8.0,9.0,0.10344827586206895,0.24137931034482762,2,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,52,0
31,31,state,state,2023-01,9.0,10.5,13.5,0.16666666666666674,0.5,3,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6013 6075 6081 6085 19103 19113 19179 21067 21111 24033 36005 36047 36061 36081 36085 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,57,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6013 6075 6081 6085 19103 19113 19179 21067 21111 24033 36005 36047 36061 36081 36085 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,57,53,0
32,32,state,state,2006-12,5.15,6.15,8.25,0.1941747572815533,0.6019417475728155,4,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,54,0
32,32,state,state,2020-07,8.25,9.0,11.25,0.09090909090909083,0.36363636363636354,4,1 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 19103 19113 19179 21067 21111,29,1 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 19103 19113 19179 21067 21111,29,55,0
34,34,state,state,2005-10,5.15,6.15,7.25,0.1941747572815533,0.40776699029126195,2,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 56,18,9,1,56,0
34,34,state,state,2014-01,7.25,8.25,8.44,0.13793103448275867,0.1641379310344826,1,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,29,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,29,57,0
34,34,state,state,2019-07,8.85,10.0,14.0,0.12994350282485878,0.5819209039548023,5,1 2 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 54 55 56 6001,24,1 2 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 54 55 56 6001,24,58,0
35,35,state,state,2020-01,7.5,9.0,12.0,0.19999999999999996,0.6000000000000001,3,1 2 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 21067 21111,27,1 2 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 21067 21111,27,59,0
36,36,state,state,2005-01,5.15,6.0,7.15,0.16504854368932032,0.38834951456310685,3,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 53 56 53033 53053,21,9 53 53033 53053,4,60,0
