year,band,w,enrolled,employed,inlf,enr_emp,enr_only,emp_only,neither
2002,1819,94812328.1155,0.5730992320440337,0.511772509177185,0.6030033928842365,0.2485929214161635,0.3245063106278702,0.2631795877610215,0.16372118019494472
2003,1819,90705856.8589,0.586089180546491,0.4836019283775273,0.5779138972287496,0.23791126585209688,0.3481779146943941,0.24569066252543048,0.16822015692807868
2004,1819,92279630.7662,0.6003991976211233,0.49405726831428903,0.5799676272068798,0.24785745846501137,0.3525417391561119,0.2461998098492777,0.153400992529599
2005,1819,91977383.0686,0.5983373830559416,0.4945520035949896,0.5797499613261355,0.25220370903680556,0.3461336740191361,0.242348294558184,0.15931432238587434
2006,1819,91481438.2013,0.5963963864313699,0.49643445291128613,0.5779826050171195,0.24986511297627564,0.3465312734550943,0.24656933993501057,0.15703427363361955
2007,1819,93685412.85,0.612872414787037,0.4765409692369201,0.5567599426830087,0.24323650614408326,0.36963590864295376,0.23330446309283678,0.1538231221201263
2008,1819,95678876.6993,0.6186359358400896,0.45706325394202646,0.5485536201585024,0.23839661389301067,0.38023932194707893,0.21866664004901581,0.16269742411089455
2009,1819,97643669.6724,0.6384416163828487,0.39965922428180306,0.5214793454899498,0.21913146287401394,0.4193101535088348,0.1805277614077891,0.1810306222093622
2010,1819,96153190.8298,0.6432240484091343,0.3826916400697936,0.5023469602210026,0.2093208853591392,0.43390316304999504,0.17337075471065438,0.18340519688021134
2011,1819,97736786.31920001,0.6603352747625748,0.3723977018696998,0.48119806593498554,0.20415288169629803,0.4561823930662767,0.16824482017340175,0.17141990506402335
2012,1819,98375127.7518,0.6688777809805285,0.37759594666366597,0.48255666873714836,0.21057828252549293,0.45829949845503565,0.16701766413817307,0.16410455488129835
2013,1819,95262989.1436,0.6291783636701761,0.3836000153146049,0.4840313994377511,0.194135768666907,0.43504259500326914,0.18946424664769793,0.18135738968212595
2014,1819,94144726.884,0.6355617687533913,0.3965912240109271,0.48304211261596075,0.198660133426746,0.43690163532664544,0.19793109058418115,0.16650714066242742
2015,1819,94222780.8886,0.6396712685466095,0.4092244668068925,0.4857094197708729,0.20934145423303346,0.43032981431357603,0.19988301257385904,0.1604457188795314
2016,1819,93383563.4567,0.6392328914111185,0.4202070021893624,0.49039001493163076,0.2151164947963733,0.4241163966147452,0.20509050739298912,0.15567660119589244
2017,1819,93238165.0663,0.6396296050109154,0.4190066316118497,0.48157220418132163,0.2080521077512212,0.4315774972596942,0.21095452386062846,0.1494158711284561
2018,1819,95101090.8864,0.6398194801412267,0.42727274615112654,0.4843266019400293,0.2136109924255886,0.42620848771563813,0.21366175372553797,0.14651876613323533
2019,1819,95689427.9767,0.6424219040662301,0.43451300351198835,0.49238728968024165,0.2161000247962098,0.4263218792700203,0.21841297871577856,0.13916511721799138
2020,1819,93890448.16280001,0.630666034777335,0.3851850180562763,0.4692915438171019,0.18715241639097924,0.4435136183863557,0.1980326016652971,0.17130136355736778
2021,1819,93033194.4676,0.6188015747685539,0.4301066571527376,0.48726563005194246,0.20412092735796059,0.41468064741059335,0.22598572979477705,0.15521269543666902
2022,1819,95737276.3599,0.6140039720444936,0.43743460775787363,0.4903391195685049,0.20331938505880776,0.4106845869856859,0.23411522269906587,0.15188080525644054
2023,1819,96390852.2723,0.6154108358272798,0.44570688728671065,0.4991533410419543,0.21069780119929835,0.40471303462798147,0.23500908608741236,0.14958007808530777
2024,1819,100439285.7632,0.6186988138417061,0.433051022940829,0.4953301783944799,0.20643958792961647,0.4122592259120896,0.2266114350112125,0.15468975114708136
2025,1819,93308571.3431,0.6323267095725719,0.43254228894358204,0.4971239652104067,0.21368791437909468,0.41863879519347724,0.21885437456448736,0.14881891586294071
2026,1819,68140152.7931,0.6285387134828514,0.4330757577342595,0.4943874456473375,0.2124081742280099,0.41613053925484156,0.22066758350624957,0.150793703010899
